user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
5723, Male,16.0,Britain,Free ,270.0,77.0,0.19,Moble,48,0,0
7446,M,16.0,,FAMILY,238.0,1.0,0.09,,0,1,0
4858,Male ,48.0,UK,family,68.0,35.0,0.29,WEB,0,1,0
560,F,25.0,PK,Premium ,295.0,56.0,0.17,WEB,0,1,0
940,Other ,28.0,us,Free ,67.0,67.0,0.13,Web,44,0,0
3192,FEMALE,45.0,USA,Student ,104.0,66.0,0.12,Desktop ,0,1,1
4032,F,47.0,AU, Free,101.0,25.0,0.51,,19,0,0
1103,OTHER,49.0,IN,Student,217.0,27.0,0.38,DESKTOP,0,1,0
5153,Male,25.0,de,Family,270.0,54.0,0.18, Desktop,0,1,0
3951,MALE,26.0,DE,Premium ,13.0,11.0,0.27,desktop,0,1,1
1555,Female,,PK,student,71.0,50.0,0.27, Desktop,0,1,0
8130,Female ,27.0,IN,free,,27.0,0.52,Mobile,43,0,1
2593,FEMALE,46.0,us,Student,257.0,8.0,0.09,Web,0,1,0
7540,Male,20.0,U.S.A.,Premium,31.0,36.0,0.38,Desktp,0,1,0
7376,Female,43.0,CA,Student ,274.0,30.0,0.3,Desktop ,0,1,0
4554, Other,39.0,Britain, Premium,239.0,39.0,0.1,Mobile ,0,1,0
5275,FEMALE,32.0,CAN,family,99.0,62.0,0.22,Web,0,1,1
1308, Male,25.0,PK, Free,265.0,26.0,0.5,Desktp,14,0,0
3344,Male,32.0,United States,STUDENT,186.0,35.0,0.5, Desktop,0,1,0
5763,O,42,,Family ,272,5.0,0.39, Desktop,0,1,0
1653,M,52,ca,Family,59,79.0,0.48,mobile,0,1,1
1661,F,17.0,,Premum,151.0,53.0,-0.5,web,0,1,0
5924,Male,36.0,CAN,FREE,233.0,76.0,0.55, Desktop,33,0,1
7999,FEMALE,34.0,IN,student,245.0,94.0,0.27,Desktop,0,1,0
7476,Other ,43.0,PK, Premium,165.0,76.0,0.48,Web,0,1,0
5592,Female,,U.S.,Free,,23.0,0.38,Web,9,0,0
2103,female,38.0,U.K.,Famly,181.0,35.0,0.57, Mobile,0,1,0
4871, Other,40.0,UK,FAMILY,242.0,18.0,0.37,Desktop,0,1,0
5175,F,47.0,PK,Premum,292.0,,0.13,web,0,1,1
5508,Female ,58.0,PK,Premum,269.0,92.0,0.59,Wb,0,1,0
3899,female,29.0,USA,Famly,125.0,42.0,0.2, Web,0,1,0
6408, Female,21.0,FR,Premium ,108.0,93.0,0.24, Web,0,1,0
3213,Other,58.0,GER,Famly,29.0,5.0,0.07,Web,0,1,1
5901, Other,26.0,PK,Free,,49.0,0.21, Mobile,40,0,0
3931,M,36.0,IN,premium,202.0,43.0,0.04, Desktop,0,1,0
6331,Female ,54.0,de,Student ,228.0,53.0,0.54,Desktop,0,1,0
7459,Male ,35.0,AUS,Studnt,285.0,,0.39,DESKTOP,0,1,1
5241,male,25.0,CA,Free,13.0,86.0,0.47,Mobile,34,0,0
4993,MALE,25.0,PK,Free ,54.0,73.0,0.51,DESKTOP,45,0,1
3357,Other ,52,ca,FREE,169,35.0,0.33, Web,34,0,0
6996,Female ,16.0,United States,Premium ,93.0,19.0,0.26,DESKTOP,0,1,0
467,female,39.0,IN,Famly,,96.0,0.32,MOBILE,0,1,0
4203, Male,57.0,us, Family,226.0,55.0,0.6, Mobile,0,1,0
6528,Male ,,Canada, Student,272.0,98.0,0.58, Web,0,1,0
6831,MALE,19.0,Canada, Premium,286.0,26.0,0.08,DESKTOP,0,1,0
2397,female,22.0,PK,PREMIUM,193.0,71.0,0.08, Desktop,0,1,0
3190, Other,22.0,us,Famly,236.0,4.0,0.53,Web ,0,1,1
5332, Male,36.0,Canada,Famly,94.0,99.0,0.32,Web ,0,1,0
5856,Other ,23.0,U.S.A.,free,103.0,10.0,0.58, Mobile,38,0,0
7816,F,59.0,FR,Premum,109.0,70.0,0.27,Wb,0,1,0
3222,O,38.0,U.K.,Premium,267.0,34.0,0.44,MOBILE,0,1,0
2773, Other,18.0,IN,F ree,132.0,18.0,0.34,Moblie,13,0,0
7199, Female,52.0,PK,F ree,167.0,59.0,0.31,Web ,12,0,1
282, Male,42.0,us,premium,52.0,55.0,0.05,web,0,1,1
6377,FEMALE,38.0,IN,F ree,101.0,47.0,0.06, Mobile,39,0,1
1274,MALE,53.0,CA,Premum,79.0,74.0,0.05,desktop,0,1,0
5430, Male,23.0,, Free,40.0,24.0,0.28, Web,23,0,0
3715,male,19.0,,Premum,96.0,,0.41,MOBILE,0,1,1
3609,Male,41.0,US,STUDENT,256.0,38.0,0.37, Desktop,0,1,0
1407,M,,PK, Family,294.0,41.0,0.15, Desktop,0,1,0
3568,other,34.0,de,family,42.0,16.0,0.5,Desktp,0,1,1
5697,FEMALE,32.0,GER,Student,109.0,84.0,0.15,,0,1,0
4943,OTHER,46.0,,Family ,260.0,31.0,0.49, Web,0,1,0
6933, Male,51.0,, Premium,174.0,58.0,0.15,Web,0,1,0
5973,Female,42.0,Australia,Student ,205.0,13.0,0.12,WEB,0,1,1
7465,Male ,32.0,GER,F ree,20.0,67.0,0.12,Web,16,0,1
410,Female ,30.0,CAN,free,84.0,22.0,0.25,Mobile,5,0,0
2363,Female ,22.0,de,student,244.0,22.0,0.37,DESKTOP,0,1,0
3751,male,43.0,PK,Famly,287.0,22.0,0.44,Web,0,1,1
3478,OTHER,20.0,FR,Premium,298.0,65.0,0.4,desktop,0,1,0
4239,female,31.0,ca,Student,13.0,70.0,0.34,Desktop ,0,1,0
1033,Other,53.0,CAN,family,276.0,4.0,0.49,Wb,0,1,0
2514,F,25.0,ca,family,297.0,33.0,0.57,,0,1,0
3380,female,16.0,Australia,Free,232.0,26.0,0.09,Wb,26,0,1
926,F,24.0,Canada,PREMIUM,275.0,23.0,0.25,web,0,1,0
4566,MALE,36.0,U.K.,Free,,45.0,0.35, Web,37,0,1
4244,other,16.0,FR,FAMILY,91.0,,0.53,MOBILE,0,1,0
6419,O,57.0,FR,Premium ,22.0,2.0,0.18,Web,0,1,0
6148,OTHER,43.0,CA,family,156.0,89.0,0.59,Web,0,1,1
5518, Other,27.0,CA,family,232.0,65.0,0.44,Mobile,0,1,0
1154,M,38.0,us,free,65.0,74.0,0.1,Wb,28,0,0
103,Female ,47.0,AU,FAMILY,240.0,61.0,0.56,Mobile,0,1,0
5309,OTHER,32.0,Australia,Premium ,296.0,1.0,0.02, Mobile,0,1,0
37,male,22.0,GER,Student ,280.0,99.0,0.29, Desktop,0,1,0
3125,Other,16.0,IN,Family,122.0,46.0,0.21,Wb,0,1,0
7516,Male,36.0,US,Student,40.0,61.0,0.17,Web,0,1,0
1463,M,59.0,FR,Family ,34.0,85.0,0.3, Web,0,1,1
5499,female,29.0,Germany,Student ,290.0,28.0,0.39,desktop,0,1,1
2993,FEMALE,39.0,United Kingdom, Student,172.0,8.0,0.19,Web ,0,1,1
5604,M,59.0,United Kingdom,Student,126.0,98.0,0.13,DESKTOP,0,1,0
6469,MALE,51.0,PK,Family ,127.0,59.0,0.21, Web,0,1,0
6333,F,28.0,AU, Student,155.0,74.0,0.53, Web,0,1,0
2713,Male ,56.0,IN,student,236.0,4.0,0.1,desktop,0,1,0
7510,Female ,30.0,FR,F ree,235.0,69.0,0.48,Desktop,30,0,1
5666,Other ,21.0,Germany,Free,227.0,80.0,0.03,Wb,38,0,0
6981,Male,44.0,United Kingdom,Premium ,262.0,43.0,0.31,Desktp,0,1,0
8042,Male ,35.0,Australia,Studnt,99.0,19.0,0.01,Mobile,0,1,1
3526, Male,52.0,FR, Family,192.0,84.0,0.06,Desktp,0,1,1
7167,MALE,52.0,United Kingdom,Famly,228.0,82.0,1.5, Mobile,0,1,0
145,male,24.0,PK,Family ,223.0,31.0,10.0,Moblie,0,1,0
3936,Female ,24.0,USA, Premium,202.0,77.0,0.4,Moble,0,1,1
1240,other,40.0,CAN,PREMIUM,220.0,97.0,0.05, Desktop,0,1,0
3271, Other,59.0,PK, Student,131.0,39.0,0.54, Web,0,1,0
5459,female,50.0,FR,PREMIUM,200.0,73.0,0.43,Web ,0,1,0
7224, Other,,DE,Student,209.0,73.0,0.38,DESKTOP,0,1,0
3186,F,25.0,CA,F ree,263.0,36.0,0.19,Web,11,0,0
2320, Male,47.0,FR,Studnt,203.0,3.0,0.4, Web,0,1,0
4631,OTHER,53.0,IN,STUDENT,270.0,7.0,0.41,DESKTOP,0,1,0
7735,M,37.0,FR,Famly,211.0,73.0,0.45,Desktp,0,1,0
2095,female,33.0,DE,FREE,267.0,91.0,0.3, Web,43,0,1
6562,Other,18.0,PK, Premium,105.0,82.0,0.37, Desktop,0,1,0
1994,Other,36.0,FR, Student,160.0,67.0,0.46,Desktop,0,1,0
5516,OTHER,42.0,PK, Premium,95.0,77.0,0.44,Desktp,0,1,0
2852,female,25.0,uk,Premium ,205.0,39.0,0.55,Wb,0,1,0
6068,Other ,50.0,DE,free,85.0,7.0,0.47, Mobile,49,0,1
3235,Other,35.0,CA,student,27.0,75.0,10.0,Moblie,0,1,0
1968, Male,26.0,FR, Free,181.0,52.0,0.48,Moble,36,0,0
7349,Other ,33.0,PK,premium,281.0,87.0,0.46,Desktp,0,1,1
3582, Female,26.0,ca, Free,115.0,12.0,0.11,Moble,30,0,0
2126,Male,16.0,FR, Family,91.0,78.0,0.37,Moblie,0,1,1
193,Other ,48.0,CA,Free,126.0,22.0,0.58,MOBILE,45,0,0
