user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
1,Female,54,CAN, freE,26.0,23.0,0.2,DeskTop,31.0,0,1
2,Other,33,Deu,family,141.0,62.0,0.34,web,0.0,1,0
3,Male,38,AUS,premium,199.0,38.0,0.04,mobIle,0.0,1,1
4,Female,22,CAN,Stud ,36.0,2.0,0.31,MOBILE,0.0,1,0
5,Other,29,usa,faMily,250.0,57.0,0.36,mobIle,0.0,1,1
6,Female,17,AUS,FREE,219.0,35.0,0.46,DeskTop,13.0,0,0
7,Female,39,UK,PREMIUM,289.0,44.0,0.38,DESKTOP,0.0,1,0
8,Female,41,UK,Free ,210.0,68.0,0.11,mobIle,5.0,0,0
9,Other,55,DEU,STUDENT,50.0,66.0,0.29,web,0.0,1,0
10,Other,44,DEU,free,182.0,67.0,0.49,Mob ,31.0,0,0
11,Other,33,DEU,FREE,181.0,72.0,0.41,web,0.0,0,0
12,Other,24,cAnAdA,free,113.0,24.0,0.56,DESKTOP,39.0,0,1
13,Female,37,IN,family,24.0,86.0,0.11,DESKTOP,0.0,1,0
14,Female,53,usa,PremiuM,45.0,47.0,0.6,wEb,0.0,1,0
15,Other,37,IN,FAMILY,114.0,13.0,0.44,web,0.0,1,1
16,Male,25,FR,student,230.0,25.0,0.26,desktop,0.0,1,0
17,Female,36,Deu,Stud ,181.0,93.0,0.23,mobIle,0.0,1,0
18,Male,58,usA,FAMILY,120.0,8.0,0.41,DESKTOP,0.0,1,0
19,Female,34,germany,Fam ,160.0,32.0,0.35,Mob ,0.0,1,0
20,Male,35,UK,student,281.0,51.0,0.35,desk ,0.0,1,0
21,Female,33,australia,studENt,138.0,60.0,0.6,WEB,0.0,1,0
22,Male,49,AUS,PremiuM,20.0,7.0,0.45,desk ,0.0,1,0
23,Female,45,PK,FAMILY,138.0,95.0,0.1,desk ,0.0,1,0
24,,44,cAnAdA,family,,,,Web ,,1,0
25,Other,32,CAN,PREMIUM,133.0,22.0,0.59,DeskTop,0.0,1,0
26,Female,19,usA,STUDENT,39.0,29.0,0.53,DESKTOP,0.0,1,0
27,Female,28,IN,Free ,290.0,88.0,0.43,Mob ,0.0,0,1
28,Other,58,FR,free,15.0,55.0,0.3,Mob ,35.0,0,0
29,Male,33,FR, freE,123.0,13.0,0.22,desk ,7.0,0,0
30,Female,22,FR,PremiuM,18.0,12.0,0.39,Mob ,0.0,1,0
31,Other,44,UK,PREMIUM,149.0,45.0,0.22,Web ,0.0,1,0
32,Male,53,usa,Stud ,72.0,12.0,0.17,Web ,0.0,1,0
33,Female,49,IN,prEmium,291.0,74.0,0.11,MOBILE,0.0,1,0
34,Male,49,usa,FAMILY,147.0,52.0,0.43,Web ,0.0,1,0
35,Female,55,FR,prEmium,18.0,2.0,0.04,Mob ,0.0,1,0
36,Other,24,de,free,59.0,53.0,0.18,Web ,28.0,0,1
37,Male,22,germany,studENt,280.0,99.0,0.29,desk ,0.0,1,0
38,,50,usA,FAMILY,,,,mobile,,1,0
39,Female,42,Deu,Fam ,47.0,59.0,0.06,desk ,0.0,1,0
40,Male,17,germany,faMily,260.0,44.0,0.5,desktop,0.0,1,1
41,Female,51,UK,prEmium,122.0,16.0,0.54,DESKTOP,0.0,1,0
42,Female,46,United States,Stud ,255.0,14.0,0.39,DESKTOP,0.0,1,0
43,Male,22,Deu,family,49.0,39.0,0.51,mobile,0.0,1,0
44,Male,37,Deu,Fam ,90.0,89.0,0.4,mobile,0.0,1,0
45,Male,39,PK,faMily,288.0,69.0,0.48,web,0.0,1,0
